,BUYER_STATE,DRUG_NAME,YEAR,MONTH,CALC_BASE_WT_IN_GM
0,MP,HYDROCODONE,2006,3,34053763.545825
1,FL,OXYCODONE,2010,5,1185282.9831130747
2,FL,OXYCODONE,2010,4,1177966.9187904748
3,FL,OXYCODONE,2010,6,1116938.4915919998
4,FL,OXYCODONE,2010,3,1073456.2542756249
5,FL,OXYCODONE,2009,12,1019756.7040432749
6,FL,OXYCODONE,2010,9,980484.2130118748
7,FL,OXYCODONE,2010,8,977755.1792893498
8,FL,OXYCODONE,2010,2,977684.8590844498
9,FL,OXYCODONE,2010,1,956416.2224402498
10,FL,OXYCODONE,2010,7,933234.4529582248
11,FL,OXYCODONE,2010,10,918775.1286326248
12,FL,OXYCODONE,2010,12,909391.6023142498
13,FL,OXYCODONE,2010,11,908015.4719006249
14,FL,OXYCODONE,2011,3,896903.8140809999
15,FL,OXYCODONE,2009,11,864937.7985426749
16,FL,OXYCODONE,2011,2,852301.0160884999
17,FL,OXYCODONE,2009,10,829259.7626717249
18,FL,OXYCODONE,2011,6,824379.4660780249
19,FL,OXYCODONE,2009,9,815082.7821457747
20,FL,OXYCODONE,2011,1,810626.007213275
21,FL,OXYCODONE,2011,5,801806.2345653248
22,FL,OXYCODONE,2011,4,797251.49732965
23,FL,OXYCODONE,2009,7,777748.9942837999
24,FL,OXYCODONE,2009,8,765015.6582865498
25,FL,OXYCODONE,2011,8,737161.0349146998
26,FL,OXYCODONE,2008,12,720909.2088189749
27,FL,OXYCODONE,2011,7,720679.2619031499
28,FL,OXYCODONE,2009,4,715776.6005929
29,FL,OXYCODONE,2009,6,707949.5032994999
30,FL,OXYCODONE,2011,9,681949.3912131999
31,FL,OXYCODONE,2009,1,679096.1325785998
32,FL,OXYCODONE,2009,5,670936.2653328499
33,FL,OXYCODONE,2008,10,650490.2531440499
34,FL,OXYCODONE,2009,3,635529.1886752879
35,FL,OXYCODONE,2011,10,626519.8036102498
36,FL,OXYCODONE,2008,7,622786.2756501999
37,FL,OXYCODONE,2008,9,587165.6708340499
38,FL,OXYCODONE,2011,11,578057.96166085
39,FL,OXYCODONE,2008,11,572138.0306839999
40,FL,OXYCODONE,2009,2,557933.7459506249
41,FL,OXYCODONE,2008,6,552132.516264175
42,FL,OXYCODONE,2011,12,549110.9949951998
43,FL,OXYCODONE,2008,8,546260.8630388249
44,FL,OXYCODONE,2008,4,538748.133603975
45,FL,OXYCODONE,2008,5,537463.0889595499
46,FL,OXYCODONE,2012,1,521232.74678639974
47,FL,OXYCODONE,2008,3,517044.7016391499
48,FL,OXYCODONE,2008,1,515160.21947044996
49,FL,OXYCODONE,2012,3,503077.2932182248
50,FL,OXYCODONE,2012,2,490189.5547741499
51,FL,OXYCODONE,2008,2,486663.74103755003
52,FL,OXYCODONE,2007,10,462481.21799757495
53,FL,OXYCODONE,2012,4,462240.5599850499
54,FL,OXYCODONE,2012,5,462193.5483767248
55,FL,OXYCODONE,2007,8,458269.050998025
56,FL,OXYCODONE,2007,11,453847.25272174994
57,FL,OXYCODONE,2007,12,452856.27185977495
58,CA,HYDROCODONE,2012,10,432988.1642700001
59,CA,HYDROCODONE,2012,3,428992.27908300003
60,CA,HYDROCODONE,2011,3,422877.9198251702
61,FL,OXYCODONE,2007,5,422396.28237227496
62,CA,HYDROCODONE,2012,8,419015.57616150007
63,CA,HYDROCODONE,2011,8,416593.6999477502
64,FL,OXYCODONE,2012,6,416277.64517569984
65,FL,OXYCODONE,2012,7,415458.76333742484
66,CA,HYDROCODONE,2011,6,414784.9410705001
67,CA,HYDROCODONE,2012,5,413901.17209650006
68,CA,HYDROCODONE,2012,11,412083.96713250026
69,CA,HYDROCODONE,2011,12,411996.6240161403
70,FL,OXYCODONE,2007,7,410163.6105868999
71,FL,OXYCODONE,2007,6,409095.6820926749
72,CA,HYDROCODONE,2012,1,408528.3023392502
73,CA,HYDROCODONE,2012,6,408082.1187555002
74,CA,HYDROCODONE,2011,11,406842.4218027002
75,CA,HYDROCODONE,2011,9,404051.4586357502
76,CA,HYDROCODONE,2010,12,403936.4152305002
77,CA,HYDROCODONE,2012,12,402691.59780450026
78,CA,HYDROCODONE,2012,2,397745.7809910001
79,CA,HYDROCODONE,2012,7,397404.06296100013
80,FL,OXYCODONE,2012,8,396961.3599800998
81,CA,HYDROCODONE,2011,10,396888.8469774002
82,FL,OXYCODONE,2012,10,395927.04300739977
83,FL,OXYCODONE,2007,3,390022.5385522999
84,CA,HYDROCODONE,2010,3,389399.1499584001
85,CA,HYDROCODONE,2008,12,388740.06248100003
86,CA,HYDROCODONE,2011,1,388715.21320233017
87,CA,OXYCODONE,2012,10,388260.05858887476
88,CA,HYDROCODONE,2011,4,388221.3739230002
89,CA,OXYCODONE,2009,12,387977.9156052249
90,FL,OXYCODONE,2007,9,386792.93255007494
91,CA,HYDROCODONE,2009,4,385983.3024465
92,CA,HYDROCODONE,2009,12,385066.8865207501
93,CA,HYDROCODONE,2010,6,383567.0118045001
94,CA,HYDROCODONE,2011,7,383257.71218775015
95,CA,HYDROCODONE,2011,5,383022.6013140001
96,CA,OXYCODONE,2010,3,381140.6349968249
97,CA,HYDROCODONE,2010,7,379481.6076330001
98,TX,HYDROCODONE,2011,3,378785.0071500004
99,CA,OXYCODONE,2012,8,378687.14987289975
100,CA,HYDROCODONE,2012,4,378124.72461300006
101,FL,OXYCODONE,2007,1,375969.8363327499
102,CA,HYDROCODONE,2010,9,375534.2119590001
103,CA,HYDROCODONE,2010,4,374221.7721097501
104,CA,OXYCODONE,2012,3,371863.39251874975
